symbol,name,sector,limit_up_count,score,price,pct_change,amount,seal_amount,turnover,first_limit_time,last_limit_time,open_times
002918.SZ,蒙娜丽莎,家居用品,6,0.6866666666666666,18.63,9.976387023925781,883742688,62971076,22.257171630859375,093000,142154,3
002031.SZ,巨轮智能,专用设备,1,0.6022222222222222,8.4,9.947644233703613,3874956192,269914192,25.30221939086914,103436,103436,0
688549.SH,中巨芯-U,电子化学,1,0.5693333333333332,16.79,20.01429557800293,1196280400,165431097,12.131693840026855,093004,143301,1
002979.SZ,雷赛智能,自动化设,1,0.5573333333333333,59.8,10.00735855102539,1189944560,158818634,9.385282516479492,103157,103157,0
002407.SZ,多氟多,化学制品,1,0.5251111111111111,36.47,10.015083312988281,5604165376,208112116,14.309663772583008,093036,095503,3
300276.SZ,三丰智能,自动化设,1,0.5237777777777778,8.42,19.94301986694336,944111888,104877684,11.133747100830078,103706,103706,0
001259.SZ,利仁科技,小家电,5,0.5181111111111111,60.5,10.0,34383360,34383360,1.1953433752059937,092500,092500,0
002196.SZ,方正电机,电机Ⅱ,1,0.5179999999999999,15.36,10.028653144836426,1600254992,135358464,21.78997230529785,110745,141857,1
603082.SH,北自科技,自动化设,2,0.4822222222222222,42.3,10.0130033493042,527492848,71474310,31.631860733032227,095102,100659,1
603390.SH,通达电气,汽车零部,1,0.4795555555555555,14.8,10.037175178527832,358806864,100975960,7.101982116699219,095721,095721,0
002915.SZ,中欣氟材,化学制品,1,0.4792222222222222,23.11,9.995241165161133,181290416,167947903,2.723144292831421,092500,092500,0
603278.SH,大业股份,通用设备,1,0.47888888888888886,16.96,9.987030029296875,1242023632,83805448,22.341413497924805,095859,101720,2
603386.SH,骏亚科技,元件,1,0.47111111111111104,16.92,10.0130033493042,368901408,119863987,6.817622184753418,093753,094511,1
601678.SH,滨化股份,化学原料,1,0.4542222222222223,5.81,10.03787899017334,572271168,65411269,4.820431232452393,092503,092503,0
603779.SH,威龙股份,非白酒,3,0.4251111111111111,9.92,9.977827072143555,52505241,52505241,1.5938397645950317,092501,092501,0
002348.SZ,高乐股份,文娱用品,1,0.4206666666666667,13.72,10.02405834197998,399428016,74705400,3.3720297813415527,132033,132033,0
603248.SH,锡华科技,风电设备,1,0.41155555555555556,31.6,9.989558219909668,444166720,67397143,20.924827575683594,102747,102747,0
603767.SH,中马传动,汽车零部,1,0.41133333333333333,21.64,10.015251159667969,308446976,72323866,4.73568058013916,100235,100235,0
600510.SH,黑牡丹,房地产开,1,0.4053333333333333,10.02,9.989023208618164,230719277,73625897,2.2911648750305176,094537,094537,0
002729.SZ,好利科技,其他电子,1,0.4053333333333333,20.91,9.994739532470703,461270496,72429626,12.805991172790527,103300,141012,1
301696.SZ,三瑞智能,航空装备,1,0.4033333333333333,139.48,20.003440856933594,1448386592,71650876,37.50741195678711,105539,140703,2
603040.SH,新坐标,汽车零部,1,0.4026666666666667,82.9,10.005308151245117,304387200,75984730,2.799912214279175,112026,112026,0
002374.SZ,中锐股份,包装印刷,1,0.39866666666666667,3.55,9.907120704650879,156865834,74077367,4.127691745758057,093533,093533,0
002971.SZ,和远气体,化学制品,2,0.3977777777777778,41.21,10.0106782913208,1201785504,51165099,20.43520164489746,144403,144515,1
603363.SH,傲农生物,饲料,1,0.39644444444444443,3.5,10.06289291381836,392252144,71795447,5.4521074295043945,130622,130622,0
603505.SH,金石资源,化学制品,1,0.39466666666666667,20.37,9.989200592041016,970005280,62078287,5.66727876663208,093002,094935,2
002066.SZ,瑞泰科技,装修建材,1,0.3904444444444445,26.06,10.004220962524414,655552208,60467018,11.06563663482666,094057,140709,1
600081.SH,东风科技,汽车零部,1,0.38022222222222224,12.94,10.034013748168945,181836258,83468745,2.6042847633361816,103525,103525,0
600088.SH,中视传媒,影视院线,1,0.3673333333333333,18.65,10.029498100280762,630946208,57318910,8.76024055480957,094209,144445,1
603520.SH,司太立,化学制药,1,0.3546666666666667,13.56,9.975668907165527,678124048,31761615,11.763727188110352,095308,095308,0
603598.SH,引力传媒,广告营销,1,0.3502222222222222,25.33,9.986973762512207,830812256,39134850,12.384015083312988,093908,100902,1
301081.SZ,严牌股份,环保设备,1,0.34088888888888885,20.3,19.976360321044922,350448560,67098909,8.526211738586426,142842,142842,0
605099.SH,共创草坪,家居用品,1,0.33955555555555555,53.56,10.002053260803223,316394640,59531404,1.523294448852539,101507,101507,0
002421.SZ,达实智能,IT服务Ⅱ,1,0.33777777777777773,3.21,9.931507110595703,717535632,59970632,11.452277183532715,131330,133357,1
603370.SH,华新精科,电机Ⅱ,1,0.3213333333333333,47.27,10.006980895996094,115908940,68816847,7.174984455108643,102551,102551,0
603697.SH,XD有友食,休闲食品,1,0.32066666666666666,11.34,9.990301132202148,248147581,66998092,5.264499664306641,130344,130344,0
600784.SH,鲁银投资,化学原料,1,0.2871111111111111,7.8,10.014103889465332,234506971,45213480,4.53093147277832,095421,095421,0
002892.SZ,科力尔,电机Ⅱ,1,0.2731111111111111,11.34,9.990301132202148,296718960,56499554,5.334271430969238,102030,102730,1
002395.SZ,双象股份,塑料,1,0.27,21.19,10.020769119262695,247508635,41563125,4.489687919616699,102509,102509,0
601996.SH,丰林集团,家居用品,1,0.23577777777777778,3.05,10.10830307006836,249205314,38108228,7.680490970611572,131406,131406,0
603677.SH,奇精机械,家电零部,1,0.2231111111111111,17.04,10.00645637512207,75865121,46054008,2.3736727237701416,105053,105053,0
603333.SH,尚纬股份,电网设备,1,0.22044444444444447,9.65,10.034207344055176,426188592,27400210,7.36746072769165,131509,131612,1
001333.SZ,光华股份,塑料,1,0.2128888888888889,26.05,10.008445739746094,224261088,29793385,20.033018112182617,104227,104227,0
603310.SH,巍华新材,化学制品,1,0.19866666666666666,17.66,10.031152725219727,358445680,14807892,10.594168663024902,095736,145433,2
600386.SH,北巴传媒,汽车服务,1,0.17377777777777778,4.36,10.1010103225708,218389373,2492276,6.365964889526367,100824,145533,1
